Name,Price,Gender,URL,  
Zoom Freak 3 (Team),120,Men,https://www.nike.com/t/zoom-freak-3-team-basketball-shoe-9FVl5X/DA7845-300,
Nike AF 1/1,132.97,Men,https://www.nike.com/t/af-1-1-mens-shoes-kcdPxn/DB2576-001,
Nike Air Monarch IV,75,Men,https://www.nike.com/t/air-monarch-iv-mens-training-shoes-lPtRrS/415445-002,
Nike Free Run 2,110,Men,https://www.nike.com/t/free-run-2-mens-shoes-tknxxK/537732-014,
Nike Free Terra Vista,120,Men,https://www.nike.com/t/free-terra-vista-mens-shoes-sG3w1d/CZ1757-001,
Nike Blazer Low '77 Vintage,85,Men,https://www.nike.com/t/blazer-low-77-vintage-mens-shoes-jsksCM/DA6364-001,
Nike SB Zoom Blazer Mid Premium,100,Men,https://www.nike.com/t/sb-zoom-blazer-mid-premium-skate-shoes-Gw3b1K/DA8854-001,
Nike SB Nyjah Free 2,95,Men,https://www.nike.com/t/sb-nyjah-free-2-skate-shoes-s4Kt9q/BV2078-200,
Nike SB Bruin React,100,Men,https://www.nike.com/t/sb-bruin-react-skate-shoes-phlCDx/CJ1661-400,
Jordan ADG 3,132.97,Men,https://www.nike.com/t/jordan-adg-3-mens-golf-shoes-CxdNRV/CW7242-002,
Nike Waffle Trainer 2,90,Men,https://www.nike.com/t/waffle-trainer-2-mens-shoes-tcxF6J/DH1349-100,
Nike DBreak-Type,85.97,Men,https://www.nike.com/t/dbreak-type-mens-shoes-CxCBss/CJ1156-004,
Nike Glide FlyEase,120,Men,https://www.nike.com/t/glide-flyease-shoe-1QKrmG/DN4919-800,
Nike Asuna Crater,49.97,Men,https://www.nike.com/t/asuna-crater-mens-slides-3vp5P0/DJ4629-002,
NikeCourt Air Zoom Vapor Pro,120,Men,https://www.nike.com/t/nikecourt-air-zoom-vapor-pro-mens-hard-court-tennis-shoes-wPkbb5/CZ0220-010,
Nike Air Max Pre-Day,130,Men,https://www.nike.com/t/air-max-pre-day-mens-shoes-d19Gvq/DC9402-001,
Nike SB Shane Premium,85,Men,https://www.nike.com/t/sb-shane-premium-skate-shoes-TMHPp3/DC8902-400,
Nike Blazer Mid '77 Premium,110,Men,https://www.nike.com/t/blazer-mid-77-premium-mens-shoes-MF8PZl/DO7225-100,
Nike SuperRep Cycle,120,Men,https://www.nike.com/t/superrep-cycle-mens-indoor-cycling-shoes-bsXw1J/CW2191-083,
Nike Air Force 1 Crater,110,Men,https://www.nike.com/t/air-force-1-crater-mens-shoes-N0dK94/DH2521-100,
Nike Pegasus Trail 3 GORE-TEX,160,Men,https://www.nike.com/t/pegasus-trail-3-gore-tex-mens-waterproof-trail-running-shoes-kzkHrx/DC8793-002,
Nike Air Force 1 Mid '07,95,Men,https://www.nike.com/t/air-force-1-mid-07-mens-shoes-S1QClz/CW2289-111,
Nike Air Force 1 High '07,100,Men,https://www.nike.com/t/air-force-1-high-07-mens-shoes-CGjvNW/CW2290-111,
Nike Quest 4,75,Men,https://www.nike.com/t/quest-4-mens-road-running-shoes-8k2ngj/DA1105-101,
Nike Revolution 5,65,Men,https://www.nike.com/t/revolution-5-mens-road-running-shoes-ZXqS6C/BQ3204-001,
Nike Air Max Pre-Day LX,140,Men,https://www.nike.com/t/air-max-pre-day-lx-mens-shoe-dzLzcl/DC5331-001,
Nike GTS 97,75,Men,https://www.nike.com/t/gts-97-mens-shoes-PlLKVl/DO2772-010,
Nike Air Max 270 G,150,Men,https://www.nike.com/t/air-max-270-g-golf-shoe-GVHWZK/CK6483-106,
Nike Romaleos 4,200,Men,https://www.nike.com/t/romaleos-4-training-shoe-r7zff9/CD3463-101,
The Nike 1971,200,Men,https://www.nike.com/t/1971-firm-ground-soccer-cleats-VXqrMg/DC9964-010,
Nike SB Zoom Blazer Mid,85,Men,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-qX3MZV/864349-302,
Nike Manoa Leather SE,100,Men,https://www.nike.com/t/manoa-leather-se-mens-boots-WHfT6c/DC8892-001,
LeBron 19,200,Men,https://www.nike.com/t/lebron-19-basketball-shoe-sHlrNZ/DC9338-800,
Air Jordan 1 Retro High OG,170,Men,https://www.nike.com/launch/r/DH3097-001,
LeBron 19,200,Men,https://www.nike.com/launch/r/DC9338-100,
Nike Streetgato,85,Men,https://www.nike.com/t/streetgato-soccer-shoes-9WSHKM/DC8466-074,
Nike Air Zoom G.T. Run,175,Men,https://www.nike.com/t/air-zoom-gt-run-basketball-shoes-fFPW28/CZ0202-400,
Nike SB Zoom Blazer Mid Premium,105,Men,https://www.nike.com/t/sb-zoom-blazer-mid-premium-skate-shoes-jcsrxf/DC8903-300,
Nike Reposto,70,Men,https://www.nike.com/t/reposto-mens-shoes-rL4gH3/CZ5631-401,
Nike Flex Experience Run 10,65,Men,https://www.nike.com/t/flex-experience-run-10-mens-road-running-shoes-BNSNRc/DH5423-402,
Air Jordan 1 Element,200,Men,https://www.nike.com/launch/r/DB2889-100,
Nike Dunk Low Retro,100,Men,https://www.nike.com/launch/r/DD1391-004,
Nike Alpha Huarache 8 Pro,100,Men,https://www.nike.com/t/alpha-huarache-8-pro-lacrosse-cleats-fQttsB/CW4439-005,
Nike ZoomX SuperRep Surge,140,Men,https://www.nike.com/t/zoomx-superrep-surge-mens-endurance-class-shoe-BnQHKQ/CU7627-883,
KD14 By You,170,Men,https://www.nike.com/u/custom-kd-14-by-you-10001107/7675209398,
Nike Air Huarache LE,120,Men,https://www.nike.com/t/air-huarache-le-mens-shoes-ghxLl1/DH8143-001,
Nike Air Force 1,160,Men,https://www.nike.com/t/air-force-1-mens-boots-rDmRsD/DA0418-300,
Nike Air Max 270,160,Men,https://www.nike.com/t/air-max-270-mens-shoes-Hdj6tc/DO5849-001,
Nike SB Zoom Verona Slip x Leticia Bufoni,75,Men,https://www.nike.com/t/sb-zoom-verona-slip-x-leticia-bufoni-slip-on-skate-shoes-bTTLcd/DD4940-600,
Nike Alpha Huarache 8 Varsity,90,Men,https://www.nike.com/t/alpha-huarache-8-varsity-lacrosse-cleats-q0XBb8/CZ6558-100,
Nike Pegasus Trail 3 GORE-TEX,160,Men,https://www.nike.com/t/pegasus-trail-3-gore-tex-mens-waterproof-trail-running-shoes-wrXM7J/DO6728-200,
Nike Air Zoom Vomero 16,150,Men,https://www.nike.com/t/air-zoom-vomero-16-mens-road-running-shoes-8zSBBk/DA7245-003,
Air Jordan 1 Low,100,Men,https://www.nike.com/t/air-jordan-1-low-shoes-NmRl7V/553558-612,
Nike ZoomX Dragonfly,150,Men,https://www.nike.com/t/zoomx-dragoy-track-field-distance-spikes-Vrr0B6/CV0400-700,
Nike Air Max Impact 3,90,Men,https://www.nike.com/t/air-max-impact-3-basketball-shoe-0DwcSG/DC3725-001,
LeBron Witness 6,100,Men,https://www.nike.com/t/lebron-witness-6-basketball-shoes-HXbMw7/CZ4052-003,
NikeCourt Vapor Lite,80,Men,https://www.nike.com/t/nikecourt-vapor-lite-mens-hard-court-tennis-shoes-vbM3MN/DC3432-001,
NikeCourt React Vapor NXT,160,Men,https://www.nike.com/t/nikecourt-react-vapor-nxt-mens-hard-court-tennis-shoes-FxT1HX/CV0724-003,
NikeCourt Lite 2,65,Men,https://www.nike.com/t/nikecourt-lite-2-mens-hard-court-tennis-shoes-PbnfMT/AR8836-008,
Nike Roshe G,80,Men,https://www.nike.com/t/roshe-g-mens-golf-shoes-T63tZ3/CD6065-400,
NikeCourt Air Zoom GP Turbo,140,Men,https://www.nike.com/t/nikecourt-air-zoom-gp-turbo-mens-hard-court-tennis-shoes-1hgx7C/CK7513-005,
NikeCourt Air Max Volley,90,Men,https://www.nike.com/t/nikecourt-air-max-volley-mens-hard-court-tennis-shoe-cStf80/CU4274-003,
Nike React Infinity Pro,120,Men,https://www.nike.com/t/react-infinity-pro-golf-shoes-wide-fPmm2x/CT6621-125,
Nike Alpha Menace Pro 2 Mid RW,100,Men,https://www.nike.com/t/alpha-menace-pro-2-mid-rw-mens-football-cleats-tp1PdD/DQ0137-300,
Nike Blazer x sacai x KAWS,140,Men,https://www.nike.com/launch/r/DM7901-500,
Nike Zoom SD 4,80,Men,https://www.nike.com/t/zoom-sd-4-track-field-throwing-shoes-kX9L9Y/685135-700,
Nike High Jump Elite,125,Men,https://www.nike.com/t/high-jump-elite-track-field-jumping-spikes-AKTd9Aq3/806561-700,
"Nike ACG GORE-TEX ""Mountain Fly""",220,Men,https://www.nike.com/t/acg-gore-tex-mountain-fly-shoes-78bQ8Z/CT2904-002,
Nike Air Max Plus SE,170,Men,https://www.nike.com/t/air-max-plus-se-mens-shoes-XDpWSq/DC9332-001,
Nike Air Force 1 GTX Boot,180,Men,https://www.nike.com/t/air-force-1-gtx-boot-boots-vtm6QP/CT2815-201,
Nike Air Max 95 SE,170,Men,https://www.nike.com/t/air-max-95-se-mens-shoes-JvsDjd/DH2718-400,
Nike Air Zoom Pegasus 38 A.I.R. Nathan Bell,130,Men,https://www.nike.com/t/air-zoom-pegasus-38-air-nathan-bell-road-running-shoes-7TndMG/DM1610-400,
Nike Air Zoom Structure 24,120,Men,https://www.nike.com/t/air-zoom-structure-24-mens-road-running-shoes-jNGSf3/DA8535-002,
Nike Alpha Huarache Elite 3 Low By You,110,Men,https://www.nike.com/u/custom-nike-alpha-huarache-elite-3-low-by-you-10001002/9014184934,
Nike Alpha Huarache Elite 3 Mid By You,125,Men,https://www.nike.com/u/custom-nike-alpha-huarache-elite-3-mid-by-you-10001003/7664734518,
Nike Vapor Edge Pro 360 By You,140,Men,https://www.nike.com/u/custom-nike-vapor-edge-pro-by-you-10000829/842956536,
Nike Phantom GT Academy By You,105,Men,https://www.nike.com/u/custom-nike-phantom-gt-academy-by-you-10000907/7143870567,
Nike Phantom GT Academy By You,105,Men,https://www.nike.com/u/custom-nike-phantom-gt-academy-by-you-10000924/2975179504,
Nike Phantom GT Academy By You,110,Men,https://www.nike.com/u/custom-nike-phantom-gt-academy-by-you-10000908/5650692390,
Nike BE-DO-WIN SP,130,Men,https://www.nike.com/t/be-do-win-sp-shoes-SxlMTR/DR6694-400,
Nike Zoom Superfly Elite 2,150,Men,https://www.nike.com/t/zoom-superfly-elite-2-track-field-sprinting-spikes-Lj6WXS/CD4382-700,
Nike Air Zoom Pegasus 38 (NFL Tampa Bay Buccaneers),130,Men,https://www.nike.com/t/air-zoom-pegasus-38-tampa-bay-buccaneers-mens-running-shoe-QpXfdj/DJ0813-600,
PG 5 (Team),110,Men,https://www.nike.com/t/pg-5-team-basketball-shoes-pNPfKx/DA7758-401,
Nike Air Zoom Pegasus 38 (NFL Jacksonville Jaguars),130,Men,https://www.nike.com/t/air-zoom-pegasus-38-jacksonville-jaguars-mens-running-shoe-884pG1/DJ0829-001,
Nike Offline Pack,120,Men,https://www.nike.com/t/offline-pack-mens-shoes-pjJKm2/CT3290-300,
Nike Air Huarache,110,Men,https://www.nike.com/t/air-huarache-mens-shoes-qT0rW8/DO6703-300,
Nike Revolution 6 FlyEase Next Nature,58.97,Men,https://www.nike.com/t/revolution-6-flyease-next-nature-mens-easy-on-off-road-running-shoes-0fm7Ds/DC8992-001,
Nike Triple Jump Elite 2,125,Men,https://www.nike.com/t/triple-jump-elite-2-track-field-jumping-spikes-BHj0G8/AO0808-700,
Nike SB Zoom Blazer Low Pro GT,80,Men,https://www.nike.com/t/sb-zoom-blazer-low-pro-gt-skate-shoes-wWkbwv/DC7695-600,
Nike Legend Essential 2,60,Men,https://www.nike.com/t/legend-essential-2-mens-training-shoes-b2RV7x/CQ9356-007,
Nike Zoom Mamba V,125,Men,https://www.nike.com/t/zoom-mamba-v-track-field-distance-spikes-f2G84m/AJ1697-700,
Nike Zoom Javelin Elite 3,150,Men,https://www.nike.com/t/zoom-javelin-elite-3-track-field-throwing-spikes-sq6fM6/AJ8119-700,
