,ProductID,Price,Name,Brand,Gender,Image,URL
5780,1887030377,130.0,Vans Sk8-Hi Mte 2.0 Dx Dress Blues/Marshma  VN0A4P3IRIY Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1917234918__600x600__.jpg,https://www.shop.com/vans-sk8-hi-mte-20-dx-dress-bluesmarshma-vn0a4p3iriy-mens-1917234918-p.xhtml?publisherID=FootwearFinder
5781,1887030383,61.0,Converse CT Hi Electric Purple  137833F Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1917234924__600x600__.jpg,https://www.shop.com/converse-ct-hi-electric-purple-137833f-mens-1917234924-p.xhtml?publisherID=FootwearFinder
5782,1887030352,52.0,PF Flyers PF Flyer Red/White  MC2002RD Men's,PF Flyers,Men,https://img.shop.com/Image/280000/282100/282141/products/1917234893__600x600__.jpg,https://www.shop.com/pf-flyers-pf-flyer-redwhite-mc2002rd-mens-1917234893-p.xhtml?publisherID=FootwearFinder
5783,1887030384,71.0,Converse JP Pro Mid Black/White  166841C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1917234925__600x600__.jpg,https://www.shop.com/converse-jp-pro-mid-blackwhite-166841c-mens-1917234925-p.xhtml?publisherID=FootwearFinder
5784,1871795345,55.0,Adidas Tubular Runner Cblack/Cblack/Ftwwht  B25525 Men's,adidas,Men,https://img.shop.com/Image/280000/282100/282141/products/1901999889__600x600__.jpg,https://www.shop.com/adidas-tubular-runner-cblackcblackftwwht-b25525-mens-1901999889-p.xhtml?publisherID=FootwearFinder
5785,1873534092,206.3,Ted Baker Men's Flowel in Navy,Ted Baker,Men,https://img.shop.com/Image/260000/267800/267870/products/1903738634__600x600__.jpg,https://www.shop.com/ted-baker-mens-flowel-in-navy-1903738634-p.xhtml?publisherID=FootwearFinder
5786,1873073853,79.97,Converse CTAS Ultra Mid White/Speed Yellow/White  168835C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903278395__600x600__.jpg,https://www.shop.com/converse-ctas-ultra-mid-whitespeed-yellowwhite-168835c-mens-1903278395-p.xhtml?publisherID=FootwearFinder
5787,1873102116,63.0,Converse Star Series BB Mid Pure Platinum/Bold Mandarin  165591C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903306658__600x600__.jpg,https://www.shop.com/converse-star-series-bb-mid-pure-platinumbold-mandarin-165591c-mens-1903306658-p.xhtml?publisherID=FootwearFinder
5788,1873102167,66.485,Converse One Star Academy SB Ox Sharkskin/Black/Black  167505C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903306709__600x600__.jpg,https://www.shop.com/converse-one-star-academy-sb-ox-sharkskinblackblack-167505c-mens-1903306709-p.xhtml?publisherID=FootwearFinder
5789,1873102120,60.0,Converse Chuck 70 High Multi/Egret-Black  167988C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903306662__600x600__.jpg,https://www.shop.com/converse-chuck-70-high-multiegret-black-167988c-mens-1903306662-p.xhtml?publisherID=FootwearFinder
5790,1872510180,59.97,Converse Star Series RN Ox Natural Ivory/Black/Club Gold  166445C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1902714722__600x600__.jpg,https://www.shop.com/converse-star-series-rn-ox-natural-ivoryblackclub-gold-166445c-mens-1902714722-p.xhtml?publisherID=FootwearFinder
5791,1872510215,137.0,Reebok Pump Court Juun.J CDGrey  H69060 Men's,Reebok,Men,https://img.shop.com/Image/280000/282100/282141/products/1902714757__600x600__.jpg,https://www.shop.com/reebok-pump-court-juunj-cdgrey-h69060-mens-1902714757-p.xhtml?publisherID=FootwearFinder
5792,1873102285,75.985,Vans Authentic Jackson Pollock  VN0A2Z5I18K Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1903306827__600x600__.jpg,https://www.shop.com/vans-authentic-jackson-pollock-vn0a2z5i18k-mens-1903306827-p.xhtml?publisherID=FootwearFinder
5793,1873102292,64.97,Vans Classic Slip-On Check Foxing /Cool Blue  VN0A38F7VLS Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1903306834__600x600__.jpg,https://www.shop.com/vans-classic-slip-on-check-foxing-cool-blue-vn0a38f7vls-mens-1903306834-p.xhtml?publisherID=FootwearFinder
5794,1873102212,45.0,Converse Chuck 70 High Pale Putty/Black-Egret  165086C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903306754__600x600__.jpg,https://www.shop.com/converse-chuck-70-high-pale-puttyblack-egret-165086c-mens-1903306754-p.xhtml?publisherID=FootwearFinder
5795,1873106574,120.2,Tommy Men's Pilo in White,,Men,https://img.shop.com/Image/260000/267800/267870/products/1903311116__600x600__.jpg,https://www.shop.com/tommy-mens-pilo-in-white-1903311116-p.xhtml?publisherID=FootwearFinder
5796,1873606657,52.485,Converse Star Series RN Ox Almost Black/Mason/ Prime Pink  166521C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903811199__600x600__.jpg,https://www.shop.com/converse-star-series-rn-ox-almost-blackmason-prime-pink-166521c-mens-1903811199-p.xhtml?publisherID=FootwearFinder
5797,1873653216,74.97,Converse Chuck 70 HI Racer Racer Pink/Gnarly  164087C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903857758__600x600__.jpg,https://www.shop.com/converse-chuck-70-hi-racer-racer-pinkgnarly-164087c-mens-1903857758-p.xhtml?publisherID=FootwearFinder
5798,1873653259,74.0,Vans Sk8-Hi Lyubov Popova  VN0A4U3C22J Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1903857801__600x600__.jpg,https://www.shop.com/vans-sk8-hi-lyubov-popova-vn0a4u3c22j-mens-1903857801-p.xhtml?publisherID=FootwearFinder
5799,1873653333,48.0,Converse Chuck 70 ABA White/Enamel Red/Rush Blue  169650C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903857875__600x600__.jpg,https://www.shop.com/converse-chuck-70-aba-whiteenamel-redrush-blue-169650c-mens-1903857875-p.xhtml?publisherID=FootwearFinder
5800,1873653353,79.97,Converse Chuck 70 E260 Hi White/Obsidian/Tea  168631C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1903857895__600x600__.jpg,https://www.shop.com/converse-chuck-70-e260-hi-whiteobsidiantea-168631c-mens-1903857895-p.xhtml?publisherID=FootwearFinder
5801,1873653419,79.97,Vans Comfycrush Old Sko Multicolored  VN0A3WMA1PJ Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1903857961__600x600__.jpg,https://www.shop.com/vans-comfycrush-old-sko-multicolored-vn0a3wma1pj-mens-1903857961-p.xhtml?publisherID=FootwearFinder
5802,1876868980,68.0,Reebok Zoku Runner ISM Solar Yellow/Neon-Blue  BS8321 Men's,Reebok,Men,https://img.shop.com/Image/280000/282100/282141/products/1907073522__600x600__.jpg,https://www.shop.com/reebok-zoku-runner-ism-solar-yellowneon-blue-bs8321-mens-1907073522-p.xhtml?publisherID=FootwearFinder
5803,1876881165,62.0,Vans Sk8-Hi Black Marshmallow  VN0A5HXV5WS Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1907085707__600x600__.jpg,https://www.shop.com/vans-sk8-hi-black-marshmallow-vn0a5hxv5ws-mens-1907085707-p.xhtml?publisherID=FootwearFinder
5804,1876881185,64.0,Vans Acer Ni Sp Marshmellow/Black  VN0A4UWY17S Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1907085727__600x600__.jpg,https://www.shop.com/vans-acer-ni-sp-marshmellowblack-vn0a4uwy17s-mens-1907085727-p.xhtml?publisherID=FootwearFinder
5805,1876881159,42.0,Converse CTAS Modern Ox Ash Grey/White/White  156654C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1907085701__600x600__.jpg,https://www.shop.com/converse-ctas-modern-ox-ash-greywhitewhite-156654c-mens-1907085701-p.xhtml?publisherID=FootwearFinder
5806,1876881194,76.0,Vans Og Style 138 Lx Asphalt/Black  VN0A45KDJMM Men's,Vans,Men,https://img.shop.com/Image/280000/282100/282141/products/1907085736__600x600__.jpg,https://www.shop.com/vans-og-style-138-lx-asphaltblack-vn0a45kdjmm-mens-1907085736-p.xhtml?publisherID=FootwearFinder
5807,1876881312,54.0,Converse CTAS 70 Ox Vintage White/Black/Egret  162439C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1907085854__600x600__.jpg,https://www.shop.com/converse-ctas-70-ox-vintage-whiteblackegret-162439c-mens-1907085854-p.xhtml?publisherID=FootwearFinder
5808,1876881297,50.0,Converse Skid Grip CVO OX Dolphin/Black/Dolphin  168915C Men's,Converse,Men,https://img.shop.com/Image/280000/282100/282141/products/1907085839__600x600__.jpg,https://www.shop.com/converse-skid-grip-cvo-ox-dolphinblackdolphin-168915c-mens-1907085839-p.xhtml?publisherID=FootwearFinder
